City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kerikeri,-35.2268,173.9474,44.06,89,64,5.12,NZ,1691507050
83,palikir - national government center,6.9248,158.1611,75.94,94,100,3.44,FM,1691507050
84,birjand,32.8663,59.2211,90.07,11,0,16.11,IR,1691507051
85,newtown,-33.8984,151.1775,53.71,86,54,1.14,AU,1691507051
86,west end,26.6833,-78.9667,89.58,74,26,9.15,BS,1691506845
87,bikenibeu village,1.3673,173.1241,80.56,89,100,6.91,KI,1691507051
88,price,39.5994,-110.8107,71.37,21,100,3.6,US,1691506800
89,cruzeiro do sul,-29.5128,-51.9853,64.53,71,16,7.74,BR,1691507051
90,ormara,25.2088,64.6357,81.86,82,17,17.43,PK,1691506939
91,wangqing,43.3218,129.7634,63.77,92,100,2.82,CN,1691507052
92,georgetown,5.4112,100.3354,78.73,93,20,2.3,MY,1691506808
93,bochum,51.4833,7.2167,68.09,58,97,5.99,DE,1691507052
94,yeppoon,-23.1333,150.7333,62.38,81,19,15.7,AU,1691507052
95,fuyu,45.1833,124.8167,66.76,93,80,5.26,CN,1691507053
96,tulun,54.5611,100.5792,60.3,95,0,1.52,RU,1691507053
97,gorontalo,0.5412,123.0595,74.16,93,6,3.96,ID,1691506870
98,san fernando de apure,7.8878,-67.4724,83.75,82,53,1.28,VE,1691507053
99,phan thiet,10.9333,108.1,79.97,82,7,9.06,VN,1691507053
100,taoudenni,22.6783,-3.9836,116.89,7,3,18.21,ML,1691507054
101,khandyga,62.6667,135.6,51.89,56,63,1.61,RU,1691507054
102,shchuchyn,53.6014,24.7465,63.79,48,100,12.41,BY,1691507054
103,tura,25.5198,90.2201,74.86,98,100,5.84,IN,1691507055
104,badger,64.8,-147.5333,58.51,93,75,3.44,US,1691507055
105,ilulissat,69.2167,-51.1,43.16,56,76,2.55,GL,1691507017
106,kruisfontein,-34.0033,24.7314,60.89,85,93,15.61,ZA,1691507055
107,karasu,41.071,30.7854,78.35,61,29,10.63,TR,1691507056
108,qaqortoq,60.7167,-46.0333,44.19,74,0,8.75,GL,1691507056
109,invercargill,-46.4,168.35,39.02,93,100,7.0,NZ,1691506985
110,enewetak,11.3474,162.3373,83.19,78,90,12.37,MH,1691507056
